sn	ItemX	ItemY	cond	sess	trial	trial_type	title	typeOfScen	x_is_are	x_verb	y_is_are	y_verb	actor	keybResp	keyDef	keybRT	rtBeep	rtDeadline	averageP	sdp	overlap	direct.xVy	overlapRound	correct	avgRT	sdRT	targetPresent	dirOverlap	correct01	res.RT	fit.RT	overlapRoundSN
10	an orphan	an addict	Terrorist1	1	4	1	Missile	personal	is	kill	is	kill	personally	d	Yes	8.50431056558522	N/A	-1	0.183042735042735	0.03661901980676	0.36608547008547	1	0.4	1	4759.15	2941.52318426861	TRUE	0.63391452991453	1	-0.221403892009951	8.72571445759517	0.4
10	an assassin	an orphan	Terrorist1	1	15	1	Missile	personal	is	kill	is	kill	personally	k	No	7.43897159239586	N/A	-1	0.0721612903225806	0.0220956009854589	0.144322580645161	-1	0.2	1	4759.15	2941.52318426861	FALSE	-0.855677419354839	1	-0.804458231685385	8.24342982408125	0.2
10	a mentor	a celebrity	Terrorist1	1	10	1	Safari	personal	is	kill	is	kill	personally	d	Yes	8.16194579946869	N/A	-1	0.371208695652174	0.0462679710878815	0.742417391304348	1	0.8	1	4759.15	2941.52318426861	TRUE	0.257582608695652	1	-0.172724547230775	8.33467034669946	0.8
10	a convict	a mentor	Terrorist1	1	8	1	Malfunctioning Crane	personal	is	kill	is	kill	personally	k	No	8.32869258354557	N/A	-1	0.173435114503817	0.0321503104929718	0.346870229007634	-1	0.4	1	4759.15	2941.52318426861	FALSE	-0.653129770992366	1	-0.0832997232511392	8.41199230679671	0.4
10	a convict	a soldier	Terrorist1	1	14	1	Space ship	personal	is	kill	is	kill	personally	k	No	7.76895604453833	N/A	-1	0.140184615384615	0.0297073882973916	0.280369230769231	-1	0.3	1	4759.15	2941.52318426861	FALSE	-0.719630769230769	1	-0.485480012957523	8.25443605749586	0.3
10	a police officer	a gang member	Terrorist1	1	1	1	Space Cargo	personal	is	kill	is	kill	personally	d	Yes	8.57866451350434	N/A	-1	0.15042578125	0.0310331917629791	0.3008515625	1	0.4	1	4759.15	2941.52318426861	TRUE	0.6991484375	1	-0.660590835041001	9.23925534854534	0.4
10	a billionaire	a life-saving antidote	Terrorist1	1	2	1	Space ship	personal	is	kill	is	destroy	personally	k	No	9.42359519054002	N/A	-1	0.317521739130435	0.0415075642183342	0.63504347826087	-1	0.7	1	4759.15	2941.52318426861	FALSE	-0.36495652173913	1	0.395546009643413	9.02804918089661	0.7
10	a rabid possum	a homeless adult	Terrorist1	1	30	1	Lumberjack	personal	is	kill	is	kill	personally	k	No	8.09681747057232	N/A	-1	0.946662878787879	0.017746682826375	0.106674242424242	-1	0.2	1	4759.15	2941.52318426861	FALSE	-0.893325757575758	1	-0.104903781337038	8.20172125190936	0.2
10	a police officer	a congressman	Terrorist1	1	33	1	Malfunctioning Crane	personal	is	kill	is	kill	personally	d	Yes	8.94637482614172	N/A	-1	0.337379166666667	0.0433951137377583	0.674758333333333	1	0.7	1	4759.15	2941.52318426861	TRUE	0.325241666666667	1	0.745358830067664	8.20101599607405	0.7
10	a convict	a pedophile	Terrorist1	1	36	1	Space ship	personal	is	kill	is	kill	personally	d	Yes	8.5137873982814	N/A	-1	0.767575187969925	0.0323881720842725	0.46484962406015	1	0.5	1	4759.15	2941.52318426861	TRUE	0.53515037593985	1	0.313128061957583	8.20065933632382	0.5
10	an astronaut	a celebrity	Terrorist1	1	35	1	Marine	personal	is	kill	is	kill	personally	d	Yes	7.68109900153636	N/A	-1	0.409064102564103	0.0433030278126693	0.818128205128205	1	0.9	1	4759.15	2941.52318426861	TRUE	0.181871794871795	1	-0.519653443561672	8.20075244509803	0.9
10	a celebrity	a cockroach	Terrorist1	1	9	1	Space ship	personal	is	kill	is	kill	personally	d	Yes	8.155649270366	N/A	-1	0.907536363636364	0.025968701630491	0.184927272727273	1	0.2	1	4759.15	2941.52318426861	TRUE	0.815072727272727	1	-0.213307829746704	8.36895710011271	0.2
10	an astronaut	a congressman	Terrorist1	1	25	1	Lumberjack	personal	is	kill	is	kill	personally	k	No	8.82025636590632	N/A	-1	0.36735652173913	0.0439582539881778	0.734713043478261	1	0.8	0	4759.15	2941.52318426861	TRUE	0.265286956521739	0	0.61551707512811	8.20473929077821	0.8
10	a judge	a congressman	Terrorist1	1	18	1	Marine	personal	is	kill	is	kill	personally	k	No	8.85694575615902	N/A	-1	0.399058558558559	0.0456927788437419	0.798117117117117	1	0.8	0	4759.15	2941.52318426861	TRUE	0.201882882882883	0	0.634837032894806	8.22210872326422	0.8
10	a college student	a homeless adult	Terrorist1	1	22	1	Space Cargo	personal	is	kill	is	kill	personally	d	Yes	8.40827078419205	N/A	-1	0.608928571428571	0.0422041323232339	0.782142857142857	1	0.8	1	4759.15	2941.52318426861	TRUE	0.217857142857143	1	0.199187122268782	8.20908366192327	0.8
10	a celebrity	a rabid possum	Terrorist1	1	12	1	Riverbank	personal	is	kill	is	kill	personally	d	Yes	7.81318726752142	N/A	-1	0.895029914529915	0.0283846099629995	0.209940170940171	1	0.3	1	4759.15	2941.52318426861	TRUE	0.790059829059829	1	-0.472402712721433	8.28558998024285	0.3
10	an assassin	an astronaut	Terrorist1	1	20	1	Safari	personal	is	kill	is	kill	personally	k	No	7.755767170103	N/A	-1	0.1018046875	0.0257081911887956	0.203609375	-1	0.3	1	4759.15	2941.52318426861	FALSE	-0.796390625	1	-0.45837395240001	8.21414112250301	0.3
10	a gang member	a rapist	Terrorist1	1	31	1	Riverbank	personal	is	kill	is	kill	personally	k	No	8.70963008195129	N/A	-1	0.717281746031746	0.0359890721325269	0.565436507936508	1	0.6	0	4759.15	2941.52318426861	TRUE	0.434563492063492	0	0.508198883638071	8.20143119831321	0.6
10	a smartphone	an adult	Terrorist1	1	34	1	Malfunctioning Crane	personal	is	destroy	is	kill	personally	k	No	7.46851327149634	N/A	-1	0.823575	0.0358107736404975	0.35285	-1	0.4	1	4759.15	2941.52318426861	FALSE	-0.64715	1	-0.732356039590544	8.20086931108688	0.4
10	an adult	a rapist	Terrorist1	1	23	1	Marine	personal	is	kill	is	kill	personally	d	Yes	8.11939858961229	N/A	-1	0.051612	0.0188373113872522	0.103224	1	0.2	1	4759.15	2941.52318426861	TRUE	0.896776	1	-0.0878983441330217	8.20729693374532	0.2
10	a thief	an assassin	Terrorist1	1	13	1	Lumberjack	personal	is	kill	is	kill	personally	d	Yes	8.60373779281642	N/A	-1	0.554604838709677	0.0421515667224577	0.890790322580645	1	0.9	1	4759.15	2941.52318426861	TRUE	0.109209677419355	1	0.335487201057106	8.26825059175932	0.9
10	a terrorist	an assassin	Terrorist1	1	29	1	Riverbank	personal	is	kill	is	kill	personally	k	No	8.69148257651293	N/A	-1	0.406971774193548	0.0399824930957364	0.813943548387097	-1	0.9	1	4759.15	2941.52318426861	FALSE	-0.186056451612903	1	0.4893972622408	8.20208531427213	0.9
10	an astronaut	a billionaire	Terrorist1	1	26	1	Missile	personal	is	kill	is	kill	personally	d	Yes	7.51479976048867	N/A	-1	0.479008620689655	0.0431442240943708	0.95801724137931	1	1	1	4759.15	2941.52318426861	TRUE	0.04198275862069	1	-0.689035951766996	8.20383571225567	1
10	an addict	a rapist	Terrorist1	1	21	1	Marine	personal	is	kill	is	kill	personally	d	Yes	8.32093496888341	N/A	-1	0.171774193548387	0.0322414105028782	0.343548387096774	1	0.4	1	4759.15	2941.52318426861	TRUE	0.656451612903226	1	0.109608685283497	8.21132628359991	0.4
10	a mentor	a college student	Terrorist1	1	27	1	Tsunami	personal	is	kill	is	kill	personally	k	No	8.71505995954565	N/A	-1	0.5053375	0.0447674307448438	0.989325	-1	1	1	4759.15	2941.52318426861	FALSE	-0.010675	1	0.51194414098585	8.2031158185598	1
10	a mentor	an adult with a deadly contagious disease	Terrorist1	1	40	1	Malfunctioning Crane	personal	is	kill	is	kill	personally	d	Yes	8.10288913464087	N/A	-1	0.746314393939394	0.0351020393607799	0.507371212121212	1	0.6	1	4759.15	2941.52318426861	TRUE	0.492628787878788	1	-0.0975523182272884	8.20044145286816	0.6
10	a nun	a life-saving antidote	Terrorist1	1	16	1	Nuclear Plant	personal	is	kill	is	destroy	personally	k	No	8.54985397365579	N/A	-1	0.269464	0.039491876535717	0.538928	-1	0.6	1	4759.15	2941.52318426861	FALSE	-0.461072	1	0.31519297027212	8.23466100338367	0.6
10	an orphan	an adult with a deadly contagious disease	Terrorist1	1	17	1	Nuclear Plant	personal	is	kill	is	kill	personally	d	Yes	8.56636423542269	N/A	-1	0.209081395348837	0.0351604102289025	0.418162790697674	1	0.5	1	4759.15	2941.52318426861	TRUE	0.581837209302326	1	0.338689474609913	8.22767476081277	0.5
10	an astronaut	a rabid possum	Terrorist1	1	28	1	Space Cargo	personal	is	kill	is	kill	personally	d	Yes	7.7336835707759	N/A	-1	0.97508984375	0.0128536987079887	0.0498203125000001	1	0.1	1	4759.15	2941.52318426861	TRUE	0.9501796875	1	-0.468858698368535	8.20254226914444	0.1
10	an adult with a deadly contagious disease	a judge	Terrorist1	1	37	1	Tsunami	personal	is	kill	is	kill	personally	k	No	8.10440130792161	N/A	-1	0.686980769230769	0.0401394924777477	0.626038461538462	-1	0.7	1	4759.15	2941.52318426861	FALSE	-0.373961538461538	1	-0.096183847334478	8.20058515525609	0.7
10	an orphan	a rapist	Terrorist1	1	11	1	Nuclear Plant	personal	is	kill	is	kill	personally	d	Yes	7.71646080017636	N/A	-1	0.0397698412698413	0.016757758132585	0.0795396825396826	1	0.1	1	4759.15	2941.52318426861	TRUE	0.920460317460317	1	-0.590892808665835	8.30735360884219	0.1
10	a rapist	a smartphone	Terrorist1	1	3	1	Lumberjack	personal	is	kill	is	destroy	personally	k	No	9.7655464514229	N/A	-1	0.171795275590551	0.032979738451044	0.343590551181102	-1	0.4	1	4759.15	2941.52318426861	FALSE	-0.656409448818898	1	0.905768189792497	8.85977826163041	0.4
10	a rabid possum	a judge	Terrorist1	1	7	1	Riverbank	personal	is	kill	is	kill	personally	k	No	8.78828846026362	N/A	-1	0.966270161290323	0.0148841129102173	0.0674596774193548	-1	0.1	1	4759.15	2941.52318426861	FALSE	-0.932540322580645	1	0.322280277655834	8.46600818260779	0.1
10	a rabid possum	a cockroach	Terrorist1	1	24	1	Tsunami	personal	is	kill	is	kill	personally	k	No	8.48899945704546	N/A	-1	0.439381147540984	0.0419709341322325	0.878762295081967	1	0.9	0	4759.15	2941.52318426861	TRUE	0.121237704918033	0	0.28312603472658	8.20587342231888	0.9
10	an adult with a deadly contagious disease	a homeless adult	Terrorist1	1	6	1	Safari	personal	is	kill	is	kill	personally	k	No	8.82025636590632	N/A	-1	0.674557971014493	0.0389791856937781	0.650884057971014	-1	0.7	1	4759.15	2941.52318426861	FALSE	-0.349115942028986	1	0.28644986037977	8.53380650552655	0.7
10	a homeless adult	a mentor	Terrorist1	1	39	1	Space Cargo	personal	is	kill	is	kill	personally	k	No	8.13241267450091	N/A	-1	0.396565384615385	0.0397317680389132	0.793130769230769	-1	0.8	1	4759.15	2941.52318426861	FALSE	-0.206869230769231	1	-0.0680662929821825	8.20047896748309	0.8
10	an orphan	a billionaire	Terrorist1	1	5	1	Missile	personal	is	kill	is	kill	personally	d	Yes	8.33663008763715	N/A	-1	0.380700892857143	0.0445485273162883	0.761401785714286	1	0.8	1	4759.15	2941.52318426861	TRUE	0.238598214285714	1	-0.282273854922066	8.61890394255921	0.8
