sn	ItemX	ItemY	cond	sess	trial	trial_type	title	typeOfScen	x_is_are	x_verb	y_is_are	y_verb	actor	keybResp	keyDef	keybRT	rtBeep	rtDeadline	averageP	sdp	overlap	direct.xVy	overlapRound	correct	avgRT	sdRT	targetPresent	dirOverlap	correct01	res.RT	fit.RT	overlapRoundSN
10	a terrorist	an astronaut	simple	1	14	1	simplified	impersonal	is	kill	is	kill	personally	d	No	8.16223106548118	N/A	-1	0.0542235772357724	0.0196613004138196	0.108447154471545	-1	0.2	1	3887.05	2357.58392133851	FALSE	-0.891552845528455	1	-0.0454367414921979	8.20766780697338	0.2
10	an orphan	a nun	simple	1	23	1	simplified	impersonal	is	kill	is	kill	personally	k	Yes	8.422882511945	N/A	-1	0.331274590163934	0.0408151494092783	0.662549180327869	1	0.7	1	3887.05	2357.58392133851	TRUE	0.337450819672131	1	0.302002031260479	8.12088048068452	0.7
10	a congressman	a rapist	simple	1	31	1	simplified	impersonal	is	kill	is	kill	personally	k	Yes	7.55538194424027	N/A	-1	0.872868644067797	0.0296919007172673	0.254262711864407	1	0.3	1	3887.05	2357.58392133851	TRUE	0.745737288135593	1	-0.489124949838135	8.04450689407841	0.3
10	a rabid possum	a pedophile	simple	1	26	1	simplified	impersonal	is	kill	is	kill	personally	k	Yes	8.58035576637388	N/A	-1	0.3520234375	0.0378515366945483	0.704046875	1	0.8	1	3887.05	2357.58392133851	TRUE	0.295953125	1	0.488199983511819	8.09215578286206	0.8
10	an elderly person	a nun	simple	1	37	1	simplified	impersonal	is	kill	is	kill	personally	k	Yes	7.76641689801966	N/A	-1	0.350416666666667	0.0424038064921918	0.700833333333333	1	0.8	1	3887.05	2357.58392133851	TRUE	0.299166666666667	1	-0.221281536438272	7.98769843445793	0.8
10	a life-saving antidote	an astronaut	simple	1	1	1	simplified	impersonal	is	destroy	is	kill	personally	k	Yes	8.22737550683403	N/A	-1	0.300345238095238	0.0409364299350954	0.600690476190476	1	0.7	1	3887.05	2357.58392133851	TRUE	0.399309523809524	1	-0.107291781667737	8.33466728850177	0.7
10	a rapist	an assassin	simple	1	40	1	simplified	impersonal	is	kill	is	kill	personally	d	No	8.53836742664764	N/A	-1	0.376809160305344	0.0378201733093437	0.753618320610687	-1	0.8	1	3887.05	2357.58392133851	FALSE	-0.246381679389313	1	0.578922606360307	7.95944482028734	0.8
10	a congressman	a rabid possum	simple	1	29	1	simplified	impersonal	is	kill	is	kill	personally	k	Yes	7.44307837434852	N/A	-1	0.8705	0.0302090858370011	0.259	1	0.3	1	3887.05	2357.58392133851	TRUE	0.741	1	-0.620454313992222	8.06353268834074	0.3
10	an adult	a homeless adult	simple	1	12	1	simplified	impersonal	is	kill	is	kill	personally	k	Yes	9.25550492393056	N/A	-1	0.414681102362205	0.0430421897230041	0.829362204724409	1	0.9	1	3887.05	2357.58392133851	TRUE	0.170637795275591	1	1.02842543627555	8.22707948765501	0.9
10	an adult with a deadly contagious disease	an assassin	simple	1	22	1	simplified	impersonal	is	kill	is	kill	personally	d	No	8.14148104145742	N/A	-1	0.703007462686567	0.0373453847031057	0.593985074626866	1	0.6	0	3887.05	2357.58392133851	TRUE	0.406014925373134	0	0.0110030206877703	8.13047802076965	0.6
10	a nun	a homeless adult	simple	1	27	1	simplified	impersonal	is	kill	is	kill	personally	d	No	8.39049553837028	N/A	-1	0.501286259541985	0.0415129156464946	0.997427480916031	-1	1	1	3887.05	2357.58392133851	FALSE	-0.00257251908396905	1	0.307892058497387	8.08260347987289	1
10	a thief	a billionaire	simple	1	24	1	simplified	impersonal	is	kill	is	kill	personally	d	No	7.77527584648686	N/A	-1	0.826482142857143	0.0343610296918462	0.347035714285714	-1	0.4	1	3887.05	2357.58392133851	FALSE	-0.652964285714286	1	-0.3360184234311	8.11129426991796	0.4
10	an adult with a deadly contagious disease	a gang member	simple	1	20	1	simplified	impersonal	is	kill	is	kill	personally	d	No	8.68321597524069	N/A	-1	0.365081395348837	0.0401404770615099	0.730162790697674	1	0.8	0	3887.05	2357.58392133851	TRUE	0.269837209302326	0	0.53350883277168	8.14970714246901	0.8
10	a soldier	a judge	simple	1	33	1	simplified	impersonal	is	kill	is	kill	personally	k	Yes	7.68616230349291	N/A	-1	0.324652892561983	0.0428261590203817	0.649305785123967	1	0.7	1	3887.05	2357.58392133851	TRUE	0.350694214876033	1	-0.339363687422558	8.02552599091546	0.7
10	a rapist	a college student	simple	1	38	1	simplified	impersonal	is	kill	is	kill	personally	d	No	8.05452260953729	N/A	-1	0.955165322580645	0.0184868627503233	0.0896693548387097	-1	0.1	1	3887.05	2357.58392133851	FALSE	-0.91033064516129	1	0.0762531724540381	7.97826943708326	0.1
10	an adult	a congressman	simple	1	8	1	simplified	impersonal	is	kill	is	kill	personally	d	No	8.73664995487245	N/A	-1	0.346709090909091	0.045252948157222	0.693418181818182	1	0.7	0	3887.05	2357.58392133851	TRUE	0.306581818181818	0	0.4706092675235	8.26604068734895	0.7
10	a judge	a rabid possum	simple	1	36	1	simplified	impersonal	is	kill	is	kill	personally	k	Yes	7.35755620091035	N/A	-1	0.966270161290323	0.0148841129102173	0.0674596774193548	1	0.1	1	3887.05	2357.58392133851	TRUE	0.932540322580645	1	-0.639582374440547	7.9971385753509	0.1
10	an astronaut	a terrorist	simple	1	34	1	simplified	impersonal	is	kill	is	kill	personally	k	Yes	7.11232744471091	N/A	-1	0.0542235772357724	0.0196613004138196	0.108447154471545	1	0.2	1	3887.05	2357.58392133851	TRUE	0.891552845528455	1	-0.903724895675603	8.01605234038651	0.2
10	an addict	an adult with a deadly contagious disease	simple	1	16	1	simplified	impersonal	is	kill	is	kill	personally	k	Yes	8.41958036254924	N/A	-1	0.501043307086614	0.0445614486151049	0.997913385826772	1	1	1	3887.05	2357.58392133851	TRUE	0.00208661417322797	1	0.231278434664414	8.18830192788482	1
10	a gang member	a billionaire	simple	1	5	1	simplified	impersonal	is	kill	is	kill	personally	d	No	7.7931743471892	N/A	-1	0.800424107142857	0.0361418371462963	0.399151785714286	-1	0.4	1	3887.05	2357.58392133851	FALSE	-0.600848214285714	1	-0.502208276635451	8.29538262382466	0.4
10	a nun	an elderly person	simple	1	35	1	simplified	impersonal	is	kill	is	kill	personally	d	No	7.87739718635329	N/A	-1	0.350416666666667	0.0424038064921918	0.700833333333333	-1	0.8	1	3887.05	2357.58392133851	FALSE	-0.299166666666667	1	-0.129192686578687	8.00658987293197	0.8
10	a pedophile	a soldier	simple	1	6	1	simplified	impersonal	is	kill	is	kill	personally	d	No	8.0861025356691	N/A	-1	0.031048	0.0153811012048642	0.062096	-1	0.1	1	3887.05	2357.58392133851	FALSE	-0.937904	1	-0.19948788810898	8.28559042377808	0.1
10	an orphan	a convict	simple	1	18	1	simplified	impersonal	is	kill	is	kill	personally	k	Yes	7.81278281857758	N/A	-1	0.1422890625	0.0302643763028473	0.284578125	1	0.3	1	3887.05	2357.58392133851	TRUE	0.715421875	1	-0.356198923743532	8.16898174232111	0.3
10	a police officer	a terrorist	simple	1	21	1	simplified	impersonal	is	kill	is	kill	personally	k	Yes	7.98309894071089	N/A	-1	0.94316015625	0.0196864140471973	0.1136796875	1	0.2	1	3887.05	2357.58392133851	TRUE	0.8863203125	1	-0.156987962851852	8.14008690356274	0.2
10	a smartphone	a judge	simple	1	11	1	simplified	impersonal	is	destroy	is	kill	personally	d	No	7.86365126544865	N/A	-1	0.778909090909091	0.0369921556182536	0.442181818181818	-1	0.5	1	3887.05	2357.58392133851	FALSE	-0.557818181818182	1	-0.373151271985766	8.23680253743442	0.5
10	a billionaire	an addict	simple	1	17	1	simplified	impersonal	is	kill	is	kill	personally	k	Yes	8.06085575293432	N/A	-1	0.694354545454545	0.0435356724567781	0.611290909090909	1	0.7	1	3887.05	2357.58392133851	TRUE	0.388709090909091	1	-0.117780377222342	8.17863613015666	0.7
10	a rabid possum	an adult with a deadly contagious disease	simple	1	25	1	simplified	impersonal	is	kill	is	kill	personally	k	Yes	8.57451825803551	N/A	-1	0.776600746268657	0.0339841828106638	0.446798507462687	-1	0.5	0	3887.05	2357.58392133851	FALSE	-0.553201492537313	0	0.472798882939099	8.10171937509641	0.5
10	a thief	a life-saving antidote	simple	1	13	1	simplified	impersonal	is	kill	is	destroy	personally	d	No	8.15794350710504	N/A	-1	0.0725327868852459	0.0242828826524714	0.145065573770492	-1	0.2	1	3887.05	2357.58392133851	FALSE	-0.854934426229508	1	-0.0594244082457802	8.21736791535082	0.2
10	an elderly person	an astronaut	simple	1	32	1	simplified	impersonal	is	kill	is	kill	personally	d	No	8.47031120551611	N/A	-1	0.393838842975207	0.0423876598846921	0.787677685950413	1	0.8	0	3887.05	2357.58392133851	TRUE	0.212322314049587	0	0.435300367780735	8.03501083773537	0.8
10	a celebrity	a pedophile	simple	1	39	1	simplified	impersonal	is	kill	is	kill	personally	k	Yes	7.58375630070711	N/A	-1	0.907235042735043	0.0252592978113776	0.185529914529915	1	0.2	1	3887.05	2357.58392133851	TRUE	0.814470085470085	1	-0.385095269365523	7.96885157007263	0.2
10	a smartphone	a pedophile	simple	1	19	1	simplified	impersonal	is	destroy	is	kill	personally	d	No	8.3296580675694	N/A	-1	0.1393	0.0304994461624505	0.2786	1	0.3	0	3887.05	2357.58392133851	TRUE	0.7214	0	0.170319316659901	8.15933875090949	0.3
10	a homeless adult	a gang member	simple	1	2	1	simplified	impersonal	is	kill	is	kill	personally	k	Yes	7.81722278550817	N/A	-1	0.18555905511811	0.0336372509774461	0.37111811023622	1	0.4	1	3887.05	2357.58392133851	TRUE	0.62888188976378	1	-0.507605929764173	8.32482871527234	0.4
10	a smartphone	a soldier	simple	1	7	1	simplified	impersonal	is	destroy	is	kill	personally	d	No	8.17470288246946	N/A	-1	0.87525	0.0290441949976127	0.2495	-1	0.3	1	3887.05	2357.58392133851	FALSE	-0.7505	1	-0.101106900364993	8.27580978283445	0.3
10	a thief	a life-saving antidote	simple	1	15	1	simplified	impersonal	is	kill	is	destroy	personally	d	No	7.90211754627645	N/A	-1	0.0725327868852459	0.0242828826524714	0.145065573770492	-1	0.2	1	3887.05	2357.58392133851	FALSE	-0.854934426229508	1	-0.295861602713765	8.19797914899021	0.2
