exp	sn	cond	sess	trial	trial_type	dispSize	minProbeTime	respOrder	fixedOrWord	probeBlankTime	screenAdvanceTime	title	typeOfScen	ItemX	x_is_are	x_verb	ItemY	y_is_are	y_verb	actor	questionKey	keybResp	keyDef	keybRT	moral_acceptabilityResp	moral_acceptabilityRT	moral_inacceptabilityResp	moral_inacceptabilityRT	rtBeep	rtDeadline	presentationMode	hide_question
exp_simplified_test	1	simple	1	0	0	680	0	k	W	300	0	mall shopping	practice	cupcakes	is a	destroy	brownies	is a	kill	personally	X>Y	k	No	12777	0	0	0	0	N/A	-1	mask	visible
exp_simplified_test	1	simple	1	0	1	680	0	k	W	300	0	simplified	impersonal	an addict	is	kill	a rabid possum	is	kill	personally	X>Y	d	Yes	4291	0	0	0	0	N/A	-1	mask	visible
exp_simplified_test	1	simple	1	1	0	680	0	k	W	300	0	party	practice	jello	is a	destroy	tiramisu	is a	kill	personally	X>Y	d	Yes	356	0	0	0	0	N/A	-1	mask	visible
exp_simplified_test	1	simple	1	1	1	680	0	k	W	300	0	simplified	impersonal	a police officer	is	kill	a billionaire	is	kill	personally	X>Y	d	Yes	1542	0	0	0	0	N/A	-1	mask	visible
exp_simplified_test	1	simple	1	2	0	680	0	k	W	300	0	grocery shopping	practice	brownies	is a	kill	jello	is a	destroy	personally	X>Y	k	No	864	0	0	0	0	N/A	-1	mask	visible
exp_simplified_test	1	simple	1	2	1	680	0	k	W	300	0	simplified	impersonal	a gang member	is	kill	a college student	is	kill	personally	X>Y	k	No	1650	0	0	0	0	N/A	-1	mask	visible
exp_simplified_test	1	simple	1	3	0	680	0	k	W	300	0	supermarket	practice	brownies	is a	kill	chocolate chip cookies	are	destroy	personally	X>Y	d	Yes	570	0	0	0	0	N/A	-1	mask	visible
exp_simplified_test	1	simple	1	3	1	680	0	k	W	300	0	simplified	impersonal	a pedophile	is	kill	an Olympian	is	kill	personally	X>Y	k	No	1532	0	0	0	0	N/A	-1	mask	visible
exp_simplified_test	1	simple	1	4	1	680	0	k	W	300	0	simplified	impersonal	an addict	is	kill	a soldier	is	kill	personally	X>Y	k	No	1636	0	0	0	0	N/A	-1	mask	visible
exp_simplified_test	1	simple	1	5	1	680	0	k	W	300	0	simplified	impersonal	an assassin	is	kill	a judge	is	kill	personally	X>Y	d	Yes	2114	0	0	0	0	N/A	-1	mask	visible
exp_simplified_test	1	simple	1	6	1	680	0	k	W	300	0	simplified	impersonal	a billionaire	is	kill	an addict	is	kill	personally	X>Y	d	Yes	2717	0	0	0	0	N/A	-1	mask	visible
exp_simplified_test	1	simple	1	7	1	680	0	k	W	300	0	simplified	impersonal	a nun	is	kill	a rapist	is	kill	personally	X>Y	d	Yes	971	0	0	0	0	N/A	-1	mask	visible
exp_simplified_test	1	simple	1	8	1	680	0	k	W	300	0	simplified	impersonal	a celebrity	is	kill	a cockroach	is	kill	personally	X>Y	k	No	2091	0	0	0	0	N/A	-1	mask	visible
exp_simplified_test	1	simple	1	9	1	680	0	k	W	300	0	simplified	impersonal	a billionaire	is	kill	an assassin	is	kill	personally	X>Y	d	Yes	914	0	0	0	0	N/A	-1	mask	visible
exp_simplified_test	1	simple	1	10	1	680	0	k	W	300	0	simplified	impersonal	a judge	is	kill	a congressman	is	kill	personally	X>Y	d	Yes	1435	0	0	0	0	N/A	-1	mask	visible
exp_simplified_test	1	simple	1	11	1	680	0	k	W	300	0	simplified	impersonal	an elderly person	is	kill	an assassin	is	kill	personally	X>Y	k	No	1287	0	0	0	0	N/A	-1	mask	visible
exp_simplified_test	1	simple	1	12	1	680	0	k	W	300	0	simplified	impersonal	a police officer	is	kill	a rapist	is	kill	personally	X>Y	d	Yes	857	0	0	0	0	N/A	-1	mask	visible
exp_simplified_test	1	simple	1	13	1	680	0	k	W	300	0	simplified	impersonal	a gang member	is	kill	a life-saving antidote	is	destroy	personally	X>Y	k	No	1613	0	0	0	0	N/A	-1	mask	visible
exp_simplified_test	1	simple	1	14	1	680	0	k	W	300	0	simplified	impersonal	a cockroach	is	kill	a smartphone	is	destroy	personally	X>Y	d	Yes	2699	0	0	0	0	N/A	-1	mask	visible
