IA1	IB1	averageP	sdp	overlap	direction
a billionaire	a celebrity	0.557128571428571	0.0483242954193562	0.885742857142857	1
a billionaire	a college student	0.432840909090909	0.0458532822660379	0.865681818181818	-1
a billionaire	a congressman	0.603596153846154	0.0466995107666484	0.792807692307692	1
a billionaire	a convict	0.758987603305785	0.0371110342251927	0.48202479338843	1
a billionaire	a gang member	0.800424107142857	0.0361418371462963	0.399151785714286	1
a billionaire	a homeless adult	0.525508333333333	0.0447761792214355	0.948983333333333	1
a billionaire	a judge	0.509799107142857	0.0458529020827892	0.980401785714286	1
a billionaire	a mentor	0.441786956521739	0.0467619467776302	0.883573913043478	-1
a billionaire	a nun	0.527078260869565	0.0467951849622314	0.94584347826087	1
a billionaire	a pedophile	0.925719827586207	0.022398749392254	0.148560344827586	1
a billionaire	a police officer	0.444012396694215	0.0444662266334452	0.88802479338843	-1
a billionaire	a rapist	0.912802521008403	0.0241430370291116	0.174394957983193	1
a billionaire	a soldier	0.360632743362832	0.043759651899936	0.721265486725664	-1
a billionaire	a terrorist	0.9096875	0.0257277340795336	0.180625	1
a billionaire	a thief	0.826482142857143	0.0343610296918462	0.347035714285714	1
a billionaire	an addict	0.694354545454545	0.0435356724567781	0.611290909090909	1
a billionaire	an adult	0.455990990990991	0.0465151401263265	0.911981981981982	-1
a billionaire	an adult with a deadly contagious disease	0.679909836065574	0.0410855482355913	0.640180327868852	1
a billionaire	an assassin	0.852367521367521	0.0314124116691565	0.295264957264957	1
a billionaire	an astronaut	0.479008620689655	0.0431442240943708	0.95801724137931	-1
a billionaire	an elderly person	0.392954545454545	0.0436002472478364	0.785909090909091	-1
a billionaire	an olympian	0.510200934579439	0.0469812334871452	0.979598130841121	1
a billionaire	an orphan	0.380700892857143	0.0445485273162883	0.761401785714286	-1
a billionaire	a cockroach	0.934636363636364	0.022333748386201	0.130727272727273	1
a billionaire	a life-saving antidote	0.317521739130435	0.0415075642183342	0.63504347826087	-1
a billionaire	a rabid possum	0.927709401709402	0.0230753798550557	0.144581196581197	1
a billionaire	a smartphone	0.751703539823009	0.0405160004946282	0.496592920353982	1
