exp	sn	cond	sess	trial	trial_type	dispSize	minProbeTime	respOrder	fixedOrWord	probeBlankTime	screenAdvanceTime	title	typeOfScen	Item1	Is_are1	Verb1	Item2	Is_are2	Verb2	questionKey	keybResp	keyDef	keybRT	moral_acceptabilityResp	moral_acceptabilityRT	moral_inacceptabilityResp	moral_inacceptabilityRT	rtBeep	rtDeadline	presentationMode	hide_question
expTerrorist	10	terrorist	1	0	0	680	0	k	W	300	0	supermarket	practice	brownies	is a	kill	jello	is a	destroy	X>Y	d	Yes	7473	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	1	-2	680	0	k	W	300	0	grocery shopping	practice	cupcakes	is a	destroy	tiramisu	is a	kill	X>Y	N/A	N/A	90000	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	1	0	680	0	k	W	300	0	grocery shopping	practice	ice-cream	is a	kill	brownies	is a	kill	X>Y	k	No	7964	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	2	0	680	0	k	W	300	0	mall shopping	practice	jello	is a	destroy	tiramisu	is a	kill	X>Y	d	Yes	13587	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	3	0	680	0	k	W	300	0	party	practice	jello	is a	destroy	fruit	is a	kill	X>Y	k	No	11104	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	0	1	680	0	k	W	300	0	simplified	impersonal	an orphan	is	kill	a rabid possum	is	kill	X>Y	d	Yes	9227	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	1	1	680	0	k	W	300	0	simplified	impersonal	an adult	is	kill	a mentor	is	kill	X>Y	d	Yes	14148	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	2	1	680	0	k	W	300	0	simplified	impersonal	an elderly person	is	kill	a gang member	is	kill	X>Y	d	Yes	5629	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	3	1	680	0	k	W	300	0	simplified	impersonal	a cockroach	is	kill	a rapist	is	kill	X>Y	d	Yes	9500	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	4	1	680	0	k	W	300	0	simplified	impersonal	a gang member	is	kill	a life-saving antidote	is	destroy	X>Y	k	No	11383	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	5	1	680	0	k	W	300	0	simplified	impersonal	a rapist	is	kill	a terrorist	is	kill	X>Y	d	Yes	7108	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	6	1	680	0	k	W	300	0	simplified	impersonal	an addict	is	kill	a convict	is	kill	X>Y	d	Yes	8322	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	7	1	680	0	k	W	300	0	simplified	impersonal	an adult	is	kill	a pedophile	is	kill	X>Y	d	Yes	8960	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	8	1	680	0	k	W	300	0	simplified	impersonal	a police officer	is	kill	a soldier	is	kill	X>Y	k	No	15840	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	9	1	680	0	k	W	300	0	simplified	impersonal	an adult	is	kill	a celebrity	is	kill	X>Y	d	Yes	5557	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	10	1	680	0	k	W	300	0	simplified	impersonal	a cockroach	is	kill	a thief	is	kill	X>Y	k	No	8931	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	11	1	680	0	k	W	300	0	simplified	impersonal	an elderly person	is	kill	a rabid possum	is	kill	X>Y	d	Yes	6846	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	12	1	680	0	k	W	300	0	simplified	impersonal	a convict	is	kill	a police officer	is	kill	X>Y	k	No	3214	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	13	1	680	0	k	W	300	0	simplified	impersonal	an assassin	is	kill	a judge	is	kill	X>Y	k	No	7130	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	14	1	680	0	k	W	300	0	simplified	impersonal	an elderly person	is	kill	a pedophile	is	kill	X>Y	d	Yes	3855	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	15	1	680	0	k	W	300	0	simplified	impersonal	an adult with a deadly contagious disease	is	kill	a rapist	is	kill	X>Y	d	Yes	10559	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	16	1	680	0	k	W	300	0	simplified	impersonal	an adult with a deadly contagious disease	is	kill	a life-saving antidote	is	destroy	X>Y	d	Yes	4411	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	17	1	680	0	k	W	300	0	simplified	impersonal	a billionaire	is	kill	a nun	is	kill	X>Y	k	No	6187	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	18	1	680	0	k	W	300	0	simplified	impersonal	a cockroach	is	kill	a terrorist	is	kill	X>Y	k	No	4750	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	19	1	680	0	k	W	300	0	simplified	impersonal	a celebrity	is	kill	an elderly person	is	kill	X>Y	k	No	8491	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	20	1	680	0	k	W	300	0	simplified	impersonal	a college student	is	kill	a rabid possum	is	kill	X>Y	d	Yes	3430	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	21	1	680	0	k	W	300	0	simplified	impersonal	an Olympian	is	kill	a rabid possum	is	kill	X>Y	d	Yes	3245	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	22	1	680	0	k	W	300	0	simplified	impersonal	an adult	is	kill	a gang member	is	kill	X>Y	d	Yes	1815	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	23	1	680	0	k	W	300	0	simplified	impersonal	an astronaut	is	kill	a soldier	is	kill	X>Y	k	No	2875	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	24	1	680	0	k	W	300	0	simplified	impersonal	an assassin	is	kill	a homeless adult	is	kill	X>Y	k	No	7746	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	25	1	680	0	k	W	300	0	simplified	impersonal	a convict	is	kill	an Olympian	is	kill	X>Y	k	No	3354	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	26	1	680	0	k	W	300	0	simplified	impersonal	an Olympian	is	kill	a terrorist	is	kill	X>Y	d	Yes	2399	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	27	1	680	0	k	W	300	0	simplified	impersonal	a billionaire	is	kill	an elderly person	is	kill	X>Y	k	No	4453	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	28	1	680	0	k	W	300	0	simplified	impersonal	an addict	is	kill	an adult	is	kill	X>Y	k	No	5607	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	29	1	680	0	k	W	300	0	simplified	impersonal	a police officer	is	kill	a thief	is	kill	X>Y	d	Yes	4245	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	30	1	680	0	k	W	300	0	simplified	impersonal	a smartphone	is	destroy	a terrorist	is	kill	X>Y	d	Yes	5242	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	31	1	680	0	k	W	300	0	simplified	impersonal	an Olympian	is	kill	a mentor	is	kill	X>Y	d	Yes	5453	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	32	1	680	0	k	W	300	0	simplified	impersonal	an addict	is	kill	an elderly person	is	kill	X>Y	k	No	3349	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	33	1	680	0	k	W	300	0	simplified	impersonal	an elderly person	is	kill	an Olympian	is	kill	X>Y	d	Yes	2816	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	34	1	680	0	k	W	300	0	simplified	impersonal	an addict	is	kill	an astronaut	is	kill	X>Y	k	No	3211	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	35	1	680	0	k	W	300	0	simplified	impersonal	a congressman	is	kill	a rabid possum	is	kill	X>Y	d	Yes	2457	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	36	1	680	0	k	W	300	0	simplified	impersonal	an orphan	is	kill	a soldier	is	kill	X>Y	d	Yes	2609	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	37	1	680	0	k	W	300	0	simplified	impersonal	a billionaire	is	kill	a homeless adult	is	kill	X>Y	k	No	2703	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	38	1	680	0	k	W	300	0	simplified	impersonal	a life-saving antidote	is	destroy	a soldier	is	kill	X>Y	k	No	3653	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	39	1	680	0	k	W	300	0	simplified	impersonal	a cockroach	is	kill	a rabid possum	is	kill	X>Y	d	Yes	4825	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	40	-2	680	0	k	W	300	0	simplified	impersonal	an assassin	is	kill	an Olympian	is	kill	X>Y	N/A	N/A	90000	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	40	1	680	0	k	W	300	0	simplified	impersonal	an astronaut	is	kill	a mentor	is	kill	X>Y	k	No	5758	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	41	1	680	0	k	W	300	0	simplified	impersonal	an assassin	is	kill	a mentor	is	kill	X>Y	k	No	2600	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	42	1	680	0	k	W	300	0	simplified	impersonal	a homeless adult	is	kill	a nun	is	kill	X>Y	k	No	2497	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	43	1	680	0	k	W	300	0	simplified	impersonal	a celebrity	is	kill	an astronaut	is	kill	X>Y	d	Yes	2926	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	44	1	680	0	k	W	300	0	simplified	impersonal	an assassin	is	kill	a rabid possum	is	kill	X>Y	k	No	3115	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	45	-1	680	0	k	W	300	0	simplified	impersonal	a judge	is	kill	a rabid possum	is	kill	X>Y	N/A	N/A	2255	0	0	0	0	N/A	-1	visible	NA
expTerrorist	10	terrorist	1	46	1	680	0	k	W	300	0	simplified	impersonal	a nun	is	kill	a terrorist	is	kill	X>Y	d	Yes	2782	0	0	0	0	N/A	-1	visible	NA
