sn	Item1	Item2	cond	sess	trial	trial_type	title	typeOfScen	keybResp	keyDef	keybRT	rtBeep	rtDeadline	averageP	sdp	overlap	direct.xVy	overlapRound	correct	avgRT	sdRT	targetPresent	dirOverlap	correct01	res.RT	fit.RT	overlapRoundSN
1	3 pedophiles	53 judges	quantity	1	29	1	simplified	impersonal	d	No	7.69393732550927	N/A	-1	0.1267734375	0.0288535320703381	0.253546875	-1	0.3	1	3671.38333333333	1347.91392628056	FALSE	-0.746453125	1	-0.53480577903933	8.2287431045486	0.3
1	7 convicts	50 thieves	quantity	1	82	1	simplified	impersonal	d	No	8.43359416753992	N/A	-1	0.527162601626016	0.0439956876330651	0.945674796747968	1	1	0	3671.38333333333	1347.91392628056	TRUE	0.0543252032520321	0	0.33361794483818	8.09997622270174	1
1	an astronaut	3 pedophiles	quantity	1	15	1	simplified	impersonal	k	Yes	7.62217459481762	N/A	-1	0.912935483870968	0.0249047625624278	0.174129032258065	1	0.2	1	3671.38333333333	1347.91392628056	TRUE	0.825870967741935	1	-0.640582403049018	8.26275699786664	0.2
1	49 gang members	a congressman	quantity	1	27	1	simplified	impersonal	d	No	8.06996814905984	N/A	-1	0.714311926605505	0.0407411976151614	0.571376146788991	-1	0.6	1	3671.38333333333	1347.91392628056	FALSE	-0.428623853211009	1	-0.163634083105624	8.23360223216546	0.6
1	an assassin	a gang member	quantity	1	99	1	simplified	impersonal	k	Yes	8.36077327214494	N/A	-1	0.587891129032258	0.0430209288113874	0.824217741935484	-1	0.9	0	3671.38333333333	1347.91392628056	FALSE	-0.175782258064516	0	0.302099634186524	8.05867363795841	0.9
1	a terrorist	6 elderly people	quantity	1	103	1	simplified	impersonal	d	No	7.96797317966293	N/A	-1	0.0334512195121951	0.0161358639910392	0.0669024390243902	-1	0.1	1	3671.38333333333	1347.91392628056	FALSE	-0.93309756097561	1	-0.080982203061752	8.04895538272469	0.1
1	3 pedophiles	a college student	quantity	1	75	1	simplified	impersonal	d	No	8.27461194620955	N/A	-1	0.927576271186441	0.023205305479047	0.144847457627119	-1	0.2	1	3671.38333333333	1347.91392628056	FALSE	-0.855152542372881	1	0.157628776848789	8.11698316936076	0.2
1	50 addicts	a terrorist	quantity	1	100	1	simplified	impersonal	k	Yes	8.15248607578024	N/A	-1	0.185223577235772	0.0339672025242434	0.370447154471545	1	0.4	1	3671.38333333333	1347.91392628056	TRUE	0.629552845528455	1	0.0962420016302605	8.05624407414998	0.4
1	53 adults	9 adults	quantity	1	46	1	simplified	impersonal	k	Yes	8.65032450401942	N/A	-1	0.455072	0.0447387569381669	0.910144	1	1	1	3671.38333333333	1347.91392628056	TRUE	0.089856	1	0.462883984214148	8.18744051980527	1
1	7 convicts	9 rapists	quantity	1	25	1	simplified	impersonal	k	Yes	9.00993630763146	N/A	-1	0.295095833333333	0.03732410435428	0.590191666666667	1	0.6	1	3671.38333333333	1347.91392628056	TRUE	0.409808333333333	1	0.771474947849136	8.23846135978233	0.6
