exp	sn	cond	sess	trial	trial_type	dispSize	minProbeTime	respOrder	fixedOrWord	probeBlankTime	screenAdvanceTime	title	typeOfScen	Item1	Is_are1	Verb1	Item2	Is_are2	Verb2	questionKey	keybResp	keyDef	keybRT	moral_acceptabilityResp	moral_acceptabilityRT	moral_inacceptabilityResp	moral_inacceptabilityRT	rtBeep	rtDeadline	presentationMode	hide_question
expQuant1	100	quantity	1	0	0	680	0	k	W	300	0	supermarket	practice	chocolate chip cookies	are	destroy	jello	is a	destroy	X>Y	d	Yes	17543	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	1	0	680	0	k	W	300	0	mall shopping	practice	brownies	is a	kill	jello	is a	destroy	X>Y	d	Yes	10453	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	2	0	680	0	k	W	300	0	party	practice	brownies	is a	kill	chocolate chip cookies	are	destroy	X>Y	k	No	4196	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	3	0	680	0	k	W	300	0	grocery shopping	practice	cupcakes	is a	destroy	tiramisu	is a	kill	X>Y	k	No	6923	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	0	1	680	0	k	W	300	0	simplified	impersonal	3 college students	are	kill	a soldier	is	kill	X>Y	d	Yes	15040	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	1	1	680	0	k	W	300	0	simplified	impersonal	5 gang members	are	kill	8 terrorists	are	kill	X>Y	d	Yes	11206	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	2	1	680	0	k	W	300	0	simplified	impersonal	49 gang members	are	kill	9 adults	are	kill	X>Y	d	Yes	128	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	3	1	680	0	k	W	300	0	simplified	impersonal	52 terrorists	are	kill	6 addicts	are	kill	X>Y	k	No	11616	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	4	1	680	0	k	W	300	0	simplified	impersonal	49 astronauts	are	kill	7 assassins	are	kill	X>Y	d	Yes	9672	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	5	1	680	0	k	W	300	0	simplified	impersonal	a mentor	is	kill	4 nuns	are	kill	X>Y	k	No	6753	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	6	1	680	0	k	W	300	0	simplified	impersonal	50 addicts	are	kill	48 homeless adults	are	kill	X>Y	k	No	3745	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	7	1	680	0	k	W	300	0	simplified	impersonal	7 assassins	are	kill	9 adults	are	kill	X>Y	k	No	4597	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	8	1	680	0	k	W	300	0	simplified	impersonal	49 orphans	are	kill	49 celebrities	are	kill	X>Y	d	Yes	6375	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	9	1	680	0	k	W	300	0	simplified	impersonal	48 soldiers	are	kill	49 mentors	are	kill	X>Y	d	Yes	4635	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	10	1	680	0	k	W	300	0	simplified	impersonal	5 mentors	are	kill	a gang member	is	kill	X>Y	d	Yes	4672	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	11	1	680	0	k	W	300	0	simplified	impersonal	7 convicts	are	kill	48 homeless adults	are	kill	X>Y	k	No	5875	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	12	1	680	0	k	W	300	0	simplified	impersonal	a college student	is	kill	9 adults	are	kill	X>Y	k	No	2878	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	13	1	680	0	k	W	300	0	simplified	impersonal	an adult	is	kill	9 rapists	are	kill	X>Y	d	Yes	2862	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	14	1	680	0	k	W	300	0	simplified	impersonal	4 congressmen	are	kill	an Olympian	is	kill	X>Y	k	No	3634	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	15	1	680	0	k	W	300	0	simplified	impersonal	an Olympian	is	kill	a college student	is	kill	X>Y	d	Yes	7477	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	16	-1	680	0	k	W	300	0	simplified	impersonal	an assassin	is	kill	5 astronauts	are	kill	X>Y	N/A	N/A	94	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	17	1	680	0	k	W	300	0	simplified	impersonal	8 billionaires	are	kill	7 convicts	are	kill	X>Y	d	Yes	5778	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	18	1	680	0	k	W	300	0	simplified	impersonal	50 addicts	are	kill	48 congressmen	are	kill	X>Y	k	No	4076	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	19	1	680	0	k	W	300	0	simplified	impersonal	a nun	is	kill	51 convicts	are	kill	X>Y	d	Yes	3127	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	20	1	680	0	k	W	300	0	simplified	impersonal	52 terrorists	are	kill	48 nuns	are	kill	X>Y	k	No	2276	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	21	1	680	0	k	W	300	0	simplified	impersonal	51 assassins	are	kill	49 orphans	are	kill	X>Y	k	No	3960	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	22	1	680	0	k	W	300	0	simplified	impersonal	a billionaire	is	kill	6 police officers	are	kill	X>Y	k	No	2895	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	23	1	680	0	k	W	300	0	simplified	impersonal	a pedophile	is	kill	50 elderly people	are	kill	X>Y	k	No	4716	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	24	1	680	0	k	W	300	0	simplified	impersonal	50 police officers	are	kill	a gang member	is	kill	X>Y	d	Yes	5713	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	25	1	680	0	k	W	300	0	simplified	impersonal	49 orphans	are	kill	an addict	is	kill	X>Y	d	Yes	4143	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	26	1	680	0	k	W	300	0	simplified	impersonal	a rapist	is	kill	8 terrorists	are	kill	X>Y	d	Yes	4141	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	27	1	680	0	k	W	300	0	simplified	impersonal	4 homeless adults	are	kill	a billionaire	is	kill	X>Y	d	Yes	6052	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	28	1	680	0	k	W	300	0	simplified	impersonal	48 congressmen	are	kill	a judge	is	kill	X>Y	d	Yes	5116	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	29	1	680	0	k	W	300	0	simplified	impersonal	an addict	is	kill	7 assassins	are	kill	X>Y	d	Yes	3538	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	30	1	680	0	k	W	300	0	simplified	impersonal	50 thieves	are	kill	48 homeless adults	are	kill	X>Y	k	No	4766	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	31	1	680	0	k	W	300	0	simplified	impersonal	8 billionaires	are	kill	an Olympian	is	kill	X>Y	k	No	12725	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	32	1	680	0	k	W	300	0	simplified	impersonal	a pedophile	is	kill	a thief	is	kill	X>Y	k	No	2917	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	33	1	680	0	k	W	300	0	simplified	impersonal	9 judges	are	kill	49 gang members	are	kill	X>Y	d	Yes	3791	0	0	0	0	N/A	-1	visible	NA
expQuant1	100	quantity	1	34	1	680	0	k	W	300	0	simplified	impersonal	a college student	is	kill	6 police officers	are	kill	X>Y	k	No	2741	0	0	0	0	N/A	-1	visible	NA
