sn	Item1	Item2	cond	sess	trial	trial_type	title	typeOfScen	keybResp	keyDef	keybRT	rtBeep	rtDeadline	averageP	sdp	overlap	direct.xVy	overlapRound	correct	avgRT	sdRT	targetPresent	dirOverlap	correct01	res.RT	fit.RT	overlapRoundSN
1	an umbrella	8 kayaks	quantObject	1	26	1	simplified	impersonal	d	No	7.61233683716775	N/A	-1	0.252941666666667	0.0380133375708806	0.505883333333333	-1	0.6	1	3275.09166666667	2173.90402019169	FALSE	-0.494116666666667	1	-0.324197647887212	7.93653448505496	0.6
1	4 mailboxes	a pair of shoes	quantObject	1	35	1	simplified	impersonal	k	Yes	7.90211754627645	N/A	-1	0.672522222222222	0.0411209043570302	0.654955555555556	-1	0.7	0	3275.09166666667	2173.90402019169	FALSE	-0.345044444444444	0	-0.0344169387785103	7.93653448505496	0.7
1	47 wallets	9 pennies	quantObject	1	17	1	simplified	impersonal	k	Yes	7.3038432252777	N/A	-1	0.20768	0.0361599383453725	0.41536	1	0.5	1	3275.09166666667	2173.90402019169	TRUE	0.58464	1	-0.632691259791227	7.93653448506893	0.5
1	a vending machine	49 pieces of jewelry	quantObject	1	80	1	simplified	impersonal	d	No	7.40367029001237	N/A	-1	0.277556910569106	0.0402371547550233	0.555113821138211	-1	0.6	1	3275.09166666667	2173.90402019169	FALSE	-0.444886178861789	1	-0.532864195042585	7.93653448505496	0.6
1	3 umbrellas	a penny	quantObject	1	96	1	simplified	impersonal	k	Yes	7.93666015522543	N/A	-1	0.167371900826446	0.0325030547270763	0.334743801652893	1	0.4	1	3275.09166666667	2173.90402019169	TRUE	0.665256198347107	1	0.000125670170468162	7.93653448505496	0.4
1	47 umbrellas	49 staplers	quantObject	1	23	1	simplified	impersonal	k	Yes	7.67647364638916	N/A	-1	0.405837209302326	0.0444499600291606	0.811674418604651	1	0.9	1	3275.09166666667	2173.90402019169	TRUE	0.188325581395349	1	-0.260060838665803	7.93653448505496	0.9
1	47 teddy bears	49 staplers	quantObject	1	94	1	simplified	impersonal	d	No	8.08085641964099	N/A	-1	0.34932	0.0423579484370501	0.69864	1	0.7	0	3275.09166666667	2173.90402019169	TRUE	0.30136	0	0.144321934586028	7.93653448505496	0.7
1	9 paper plates	6 ounces of gold	quantObject	1	102	1	simplified	impersonal	d	No	7.87321705486274	N/A	-1	0.0727913385826772	0.0229861816036739	0.145582677165354	-1	0.2	1	3275.09166666667	2173.90402019169	FALSE	-0.854417322834646	1	-0.0633174301922166	7.93653448505496	0.2
1	a paper plate	47 wedding rings	quantObject	1	81	1	simplified	impersonal	d	No	7.89394513823596	N/A	-1	0.0381991869918699	0.0161383404758983	0.0763983739837398	-1	0.1	1	3275.09166666667	2173.90402019169	FALSE	-0.92360162601626	1	-0.0425893468189988	7.93653448505496	0.1
1	a passport	8 kayaks	quantObject	1	21	1	simplified	impersonal	k	Yes	7.96623977655947	N/A	-1	0.570252136752137	0.0467322612912667	0.859495726495727	1	0.9	1	3275.09166666667	2173.90402019169	TRUE	0.140504273504273	1	0.0297052915044809	7.93653448505499	0.9
1	6 ounces of gold	a pencil	quantObject	1	50	1	simplified	impersonal	k	Yes	7.38709023565676	N/A	-1	0.0806024590163934	0.0236825331716678	0.161204918032787	1	0.2	1	3275.09166666667	2173.90402019169	TRUE	0.838795081967213	1	-0.549444249398201	7.93653448505496	0.2
1	a pair of shoes	50 dollar bills	quantObject	1	106	1	simplified	impersonal	d	No	8.28526113406895	N/A	-1	0.510186991869919	0.0437145194519274	0.979626016260163	1	1	0	3275.09166666667	2173.90402019169	TRUE	0.020373983739837	0	0.34872664901399	7.93653448505496	1
1	3 umbrellas	48 mailboxes	quantObject	1	15	1	simplified	impersonal	k	Yes	8.23456499326713	N/A	-1	0.443177419354839	0.0458037841700069	0.886354838709677	-1	0.9	0	3275.09166666667	2173.90402019169	FALSE	-0.113645161290323	0	0.298030507901322	7.93653448536581	0.9
1	a dollar bill	52 toothbrushes	quantObject	1	107	1	simplified	impersonal	d	No	8.14960173573616	N/A	-1	0.287512	0.0389662446769537	0.575024	-1	0.6	1	3275.09166666667	2173.90402019169	FALSE	-0.424976	1	0.213067250681197	7.93653448505496	0.6
1	a piece of jewelry	48 pairs of shoes	quantObject	1	7	1	simplified	impersonal	d	No	8.84563325634019	N/A	-1	0.453168067226891	0.0435063491150028	0.906336134453781	-1	1	1	3275.09166666667	2173.90402019169	FALSE	-0.093663865546219	1	0.909022648165083	7.9366106081751	1
1	3 teddy bears	49 staplers	quantObject	1	66	1	simplified	impersonal	d	No	8.35819745992578	N/A	-1	0.564675572519084	0.0430671189704213	0.870648854961832	1	0.9	0	3275.09166666667	2173.90402019169	TRUE	0.129351145038168	0	0.421662974870822	7.93653448505496	0.9
1	9 smartphones	51 dinosaur fossils	quantObject	1	115	1	simplified	impersonal	d	No	8.59044365315583	N/A	-1	0.388388111888112	0.0400779448566661	0.776776223776224	-1	0.8	1	3275.09166666667	2173.90402019169	FALSE	-0.223223776223776	1	0.653909168100872	7.93653448505496	0.8
1	a wallet	53 pennies	quantObject	1	119	1	simplified	impersonal	k	Yes	7.55851674304564	N/A	-1	0.758864754098361	0.0373966579039445	0.482270491803279	1	0.5	1	3275.09166666667	2173.90402019169	TRUE	0.517729508196721	1	-0.378017742009313	7.93653448505496	0.5
1	51 dinosaur fossils	5 staplers	quantObject	1	118	1	simplified	impersonal	k	Yes	7.81075811652936	N/A	-1	0.109048	0.0287402104323489	0.218096	1	0.3	1	3275.09166666667	2173.90402019169	TRUE	0.781904	1	-0.125776368525601	7.93653448505496	0.3
1	3 teddy bears	50 videogames	quantObject	1	105	1	simplified	impersonal	d	No	7.97831096986772	N/A	-1	0.478176	0.0445712420695185	0.956352	-1	1	1	3275.09166666667	2173.90402019169	FALSE	-0.043648	1	0.0417764848127637	7.93653448505496	1
1	5 staplers	a motorcycle	quantObject	1	27	1	simplified	impersonal	k	Yes	7.50328963067508	N/A	-1	0.822974789915966	0.0339759767073764	0.354050420168067	-1	0.4	0	3275.09166666667	2173.90402019169	FALSE	-0.645949579831933	0	-0.433244854379876	7.93653448505496	0.4
1	a rock	9 passports	quantObject	1	89	1	simplified	impersonal	d	No	7.80669637252118	N/A	-1	0.139352941176471	0.0300323289114395	0.278705882352941	-1	0.3	1	3275.09166666667	2173.90402019169	FALSE	-0.721294117647059	1	-0.129838112533779	7.93653448505496	0.3
1	8 motorcycles	5 rocks	quantObject	1	14	1	simplified	impersonal	k	Yes	7.5963923040642	N/A	-1	0.886275862068965	0.0277306073623025	0.227448275862069	1	0.3	1	3275.09166666667	2173.90402019169	TRUE	0.772551724137931	1	-0.340142182456911	7.93653448652111	0.3
1	4 mailboxes	a rock	quantObject	1	38	1	simplified	impersonal	d	No	7.86441990499457	N/A	-1	0.326054166666667	0.0405499740338282	0.652108333333333	1	0.7	0	3275.09166666667	2173.90402019169	TRUE	0.347891666666667	0	-0.0721145800603926	7.93653448505496	0.7
1	a pencil	5 staplers	quantObject	1	61	1	simplified	impersonal	k	Yes	8.18813341451048	N/A	-1	0.44015350877193	0.0430851517702319	0.88030701754386	-1	0.9	0	3275.09166666667	2173.90402019169	FALSE	-0.11969298245614	0	0.25159892945552	7.93653448505496	0.9
1	3 umbrellas	3 water bottles	quantObject	1	84	1	simplified	impersonal	d	No	7.54486106865846	N/A	-1	0.48951724137931	0.0448175319227647	0.979034482758621	1	1	0	3275.09166666667	2173.90402019169	TRUE	0.020965517241379	0	-0.3916734163965	7.93653448505496	1
1	a passport	51 dinosaur fossils	quantObject	1	67	1	simplified	impersonal	d	No	7.61972421378267	N/A	-1	0.365106299212598	0.0405155670256598	0.730212598425197	-1	0.8	1	3275.09166666667	2173.90402019169	FALSE	-0.269787401574803	1	-0.316810271272288	7.93653448505496	0.8
1	52 kayaks	a dollar bill	quantObject	1	112	1	simplified	impersonal	k	Yes	8.01565761455734	N/A	-1	0.182021739130435	0.03434484691928	0.36404347826087	1	0.4	1	3275.09166666667	2173.90402019169	TRUE	0.63595652173913	1	0.0791231295023813	7.93653448505496	0.4
1	a stapler	52 kayaks	quantObject	1	59	1	simplified	impersonal	d	No	7.41878088275079	N/A	-1	0.230409482758621	0.0388364595259867	0.460818965517241	-1	0.5	1	3275.09166666667	2173.90402019169	FALSE	-0.539181034482759	1	-0.517753602304164	7.93653448505496	0.5
1	8 kayaks	8 toothbrushes	quantObject	1	11	1	simplified	impersonal	k	Yes	7.80913539812054	N/A	-1	0.732360869565217	0.0401037951126245	0.535278260869565	1	0.6	1	3275.09166666667	2173.90402019169	TRUE	0.464721739130435	1	-0.127399240763145	7.93653463888368	0.6
1	a smartphone	47 umbrellas	quantObject	1	117	1	simplified	impersonal	k	Yes	7.77821147451249	N/A	-1	0.70752	0.0403860450234067	0.58496	1	0.6	1	3275.09166666667	2173.90402019169	TRUE	0.41504	1	-0.158323010542465	7.93653448505496	0.6
1	3 teddy bears	an ounce of gold	quantObject	1	49	1	simplified	impersonal	d	No	7.72223474470961	N/A	-1	0.763142857142857	0.0367337620389136	0.473714285714286	-1	0.5	1	3275.09166666667	2173.90402019169	FALSE	-0.526285714285714	1	-0.214299740345351	7.93653448505496	0.5
1	9 vending machines	an ounce of gold	quantObject	1	97	1	simplified	impersonal	d	No	8.16593213732158	N/A	-1	0.734455752212389	0.0404678556236797	0.531088495575221	-1	0.6	1	3275.09166666667	2173.90402019169	FALSE	-0.468911504424779	1	0.229397652266627	7.93653448505496	0.6
1	a dinosaur fossil	a dollar bill	quantObject	1	77	1	simplified	impersonal	k	Yes	7.91022370709734	N/A	-1	0.865894736842105	0.0307466361692121	0.268210526315789	1	0.3	1	3275.09166666667	2173.90402019169	TRUE	0.731789473684211	1	-0.0263107779576135	7.93653448505496	0.3
1	a motorcycle	a passport	quantObject	1	25	1	simplified	impersonal	d	No	8.44591198941127	N/A	-1	0.484070247933884	0.0445074096925008	0.968140495867769	-1	1	1	3275.09166666667	2173.90402019169	FALSE	-0.031859504132231	1	0.509377504356316	7.93653448505496	1
1	a penny	9 paper plates	quantObject	1	22	1	simplified	impersonal	d	No	7.99699040583765	N/A	-1	0.35364	0.0398242183648137	0.70728	-1	0.8	1	3275.09166666667	2173.90402019169	FALSE	-0.29272	1	0.0604559207826858	7.93653448505496	0.8
