exp	sn	cond	sess	trial	trial_type	dispSize	minProbeTime	respOrder	fixedOrWord	probeBlankTime	screenAdvanceTime	title	typeOfScen	Item1	Is_are1	Verb1	Item2	Is_are2	Verb2	questionKey	keybResp	keyDef	keybRT	moral_acceptabilityResp	moral_acceptabilityRT	moral_inacceptabilityResp	moral_inacceptabilityRT	rtBeep	rtDeadline	presentationMode	hide_question
expQuantObjects	10	quantObject	1	0	0	680	0	k	W	300	0	party	practice	ice-cream	is a	kill	cupcakes	is a	destroy	X>Y	k	No	7526	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	1	0	680	0	k	W	300	0	mall shopping	practice	chocolate chip cookies	are	destroy	ice-cream	is a	kill	X>Y	d	Yes	2867	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	2	0	680	0	k	W	300	0	supermarket	practice	cupcakes	is a	destroy	jello	is a	destroy	X>Y	k	No	6038	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	3	0	680	0	k	W	300	0	grocery shopping	practice	brownies	is a	kill	tiramisu	is a	kill	X>Y	k	No	5910	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	0	1	680	0	k	W	300	0	simplified	impersonal	48 American flags	are	destroy	a vending machine	is	destroy	X>Y	d	Yes	8998	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	1	1	680	0	k	W	300	0	simplified	impersonal	6 dollar bills	are	destroy	49 staplers	are	destroy	X>Y	k	No	7180	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	2	1	680	0	k	W	300	0	simplified	impersonal	a wallet	is	destroy	6 ounces of gold	are	destroy	X>Y	k	No	6976	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	3	1	680	0	k	W	300	0	simplified	impersonal	9 passports	are	destroy	a dollar bill	is	destroy	X>Y	d	Yes	7316	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	4	1	680	0	k	W	300	0	simplified	impersonal	a passport	is	destroy	47 wallets	are	destroy	X>Y	k	No	10999	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	5	1	680	0	k	W	300	0	simplified	impersonal	6 videogames	are	destroy	8 toothbrushes	are	destroy	X>Y	d	Yes	11738	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	6	1	680	0	k	W	300	0	simplified	impersonal	a teddy bear	is	destroy	a kayak	is	destroy	X>Y	k	No	7743	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	7	1	680	0	k	W	300	0	simplified	impersonal	a dollar bill	is	destroy	9 paper plates	are	destroy	X>Y	d	Yes	7962	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	8	1	680	0	k	W	300	0	simplified	impersonal	6 dollar bills	are	destroy	a passport	is	destroy	X>Y	k	No	6363	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	9	1	680	0	k	W	300	0	simplified	impersonal	6 videogames	are	destroy	48 American flags	are	destroy	X>Y	k	No	2296	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	10	1	680	0	k	W	300	0	simplified	impersonal	a passport	is	destroy	a paper plate	is	destroy	X>Y	d	Yes	2986	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	11	1	680	0	k	W	300	0	simplified	impersonal	53 passports	are	destroy	8 motorcycles	are	destroy	X>Y	d	Yes	4149	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	12	1	680	0	k	W	300	0	simplified	impersonal	3 wedding rings	are	destroy	3 water bottles	are	destroy	X>Y	d	Yes	2862	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	13	1	680	0	k	W	300	0	simplified	impersonal	53 vending machines	are	destroy	52 toothbrushes	are	destroy	X>Y	d	Yes	2544	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	14	1	680	0	k	W	300	0	simplified	impersonal	47 wallets	are	destroy	a smartphone	is	destroy	X>Y	d	Yes	2299	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	15	1	680	0	k	W	300	0	simplified	impersonal	47 water bottles	are	destroy	53 pennies	are	destroy	X>Y	d	Yes	2180	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	16	1	680	0	k	W	300	0	simplified	impersonal	49 pieces of jewelry	are	destroy	47 wedding rings	are	destroy	X>Y	k	No	3628	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	17	1	680	0	k	W	300	0	simplified	impersonal	a videogame	is	destroy	52 toothbrushes	are	destroy	X>Y	k	No	3512	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	18	1	680	0	k	W	300	0	simplified	impersonal	47 wallets	are	destroy	50 ounces of gold	are	destroy	X>Y	k	No	2720	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	19	1	680	0	k	W	300	0	simplified	impersonal	48 mailboxes	are	destroy	53 pennies	are	destroy	X>Y	d	Yes	2827	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	20	1	680	0	k	W	300	0	simplified	impersonal	an American flag	is	destroy	53 paper plates	are	destroy	X>Y	d	Yes	2257	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	21	1	680	0	k	W	300	0	simplified	impersonal	a mailbox	is	destroy	a motorcycle	is	destroy	X>Y	k	No	3054	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	22	1	680	0	k	W	300	0	simplified	impersonal	a pair of shoes	is	destroy	4 American flags	are	destroy	X>Y	k	No	2194	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	23	1	680	0	k	W	300	0	simplified	impersonal	47 wallets	are	destroy	a pair of shoes	is	destroy	X>Y	d	Yes	2472	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	24	1	680	0	k	W	300	0	simplified	impersonal	51 dinosaur fossils	are	destroy	9 smartphones	are	destroy	X>Y	d	Yes	2350	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	25	1	680	0	k	W	300	0	simplified	impersonal	47 wallets	are	destroy	50 dollar bills	are	destroy	X>Y	d	Yes	3166	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	26	1	680	0	k	W	300	0	simplified	impersonal	an American flag	is	destroy	50 dollar bills	are	destroy	X>Y	d	Yes	2549	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	27	1	680	0	k	W	300	0	simplified	impersonal	a wedding ring	is	destroy	9 passports	are	destroy	X>Y	k	No	4925	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	28	1	680	0	k	W	300	0	simplified	impersonal	49 staplers	are	destroy	a pair of shoes	is	destroy	X>Y	k	No	3932	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	29	1	680	0	k	W	300	0	simplified	impersonal	48 pairs of shoes	are	destroy	a vending machine	is	destroy	X>Y	d	Yes	4496	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	30	1	680	0	k	W	300	0	simplified	impersonal	a passport	is	destroy	a pair of shoes	is	destroy	X>Y	d	Yes	1862	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	31	1	680	0	k	W	300	0	simplified	impersonal	a piece of jewelry	is	destroy	50 dollar bills	are	destroy	X>Y	k	No	5310	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	32	1	680	0	k	W	300	0	simplified	impersonal	a piece of jewelry	is	destroy	48 pairs of shoes	are	destroy	X>Y	k	No	2391	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	33	1	680	0	k	W	300	0	simplified	impersonal	9 paper plates	are	destroy	48 American flags	are	destroy	X>Y	k	No	2331	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	34	1	680	0	k	W	300	0	simplified	impersonal	8 toothbrushes	are	destroy	3 umbrellas	are	destroy	X>Y	d	Yes	3934	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	35	1	680	0	k	W	300	0	simplified	impersonal	47 wallets	are	destroy	3 teddy bears	are	destroy	X>Y	d	Yes	2645	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	36	1	680	0	k	W	300	0	simplified	impersonal	5 pieces of jewelry	are	destroy	a wedding ring	is	destroy	X>Y	k	No	3236	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	37	1	680	0	k	W	300	0	simplified	impersonal	9 paper plates	are	destroy	48 pairs of shoes	are	destroy	X>Y	k	No	3001	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	38	1	680	0	k	W	300	0	simplified	impersonal	53 smartphones	are	destroy	a stapler	is	destroy	X>Y	d	Yes	2699	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	39	1	680	0	k	W	300	0	simplified	impersonal	a paper plate	is	destroy	50 ounces of gold	are	destroy	X>Y	k	No	2539	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	40	1	680	0	k	W	300	0	simplified	impersonal	3 teddy bears	are	destroy	47 teddy bears	are	destroy	X>Y	k	No	3530	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	41	1	680	0	k	W	300	0	simplified	impersonal	a piece of jewelry	is	destroy	47 teddy bears	are	destroy	X>Y	d	Yes	3214	0	0	0	0	N/A	-1	visible	NA
expQuantObjects	10	quantObject	1	42	1	680	0	k	W	300	0	simplified	impersonal	3 water bottles	are	destroy	47 wallets	are	destroy	X>Y	k	No	2118	0	0	0	0	N/A	-1	visible	NA
