IA1	IB1	averageP	sdp	overlap	direction
a dinosaur fossil	a dollar bill	0.865894736842105	0.0307466361692121	0.268210526315789	1
a dinosaur fossil	a kayak	0.682239669421488	0.0411227895035513	0.635520661157025	1
a dinosaur fossil	a mailbox	0.800671296296296	0.0371059004521217	0.398657407407407	1
a dinosaur fossil	a motorcycle	0.563805084745763	0.0440046986516225	0.872389830508475	1
a dinosaur fossil	a pair of shoes	0.713792	0.0412107639223427	0.572416	1
a dinosaur fossil	a paper plate	0.913539473684211	0.0259030165940071	0.172921052631579	1
a dinosaur fossil	a passport	0.554089285714286	0.0451314214244536	0.891821428571429	1
a dinosaur fossil	a pencil	0.872920353982301	0.0289240887832551	0.254159292035398	1
a dinosaur fossil	a penny	0.916782051282051	0.0243768898013775	0.166435897435897	1
a dinosaur fossil	a piece of jewelry	0.626495614035088	0.0437131439208804	0.747008771929825	1
a dinosaur fossil	a rock	0.896618181818182	0.0281160246375609	0.206763636363636	1
a dinosaur fossil	a smartphone	0.570565217391304	0.0445969796277188	0.858869565217391	1
a dinosaur fossil	a stapler	0.829788793103448	0.0352370912975015	0.340422413793104	1
a dinosaur fossil	a teddy bear	0.742527272727273	0.0413941436440058	0.514945454545455	1
a dinosaur fossil	a toothbrush	0.784646551724138	0.037478233416865	0.430706896551724	1
a dinosaur fossil	a vending machine	0.744103305785124	0.0397180437767569	0.511793388429752	1
a dinosaur fossil	a videogame	0.805504424778761	0.0353173222966428	0.388991150442478	1
a dinosaur fossil	a wallet	0.660784482758621	0.0428717314154431	0.678431034482759	1
a dinosaur fossil	a water bottle	0.760395833333333	0.0379987993560652	0.479208333333333	1
a dinosaur fossil	a wedding ring	0.364861607142857	0.0456777915788383	0.729723214285714	-1
a dinosaur fossil	an american flag	0.475096	0.045569236764942	0.950192	-1
a dinosaur fossil	an ounce of gold	0.525364035087719	0.0457215714480073	0.949271929824561	1
a dinosaur fossil	an umbrella	0.827647826086957	0.0332159354004535	0.344704347826087	1
a dinosaur fossil	7 dinosaur fossils	0.425800884955752	0.0451496057248493	0.851601769911504	-1
a dinosaur fossil	6 dollar bills	0.813292	0.0338567129682285	0.373416	1
a dinosaur fossil	8 kayaks	0.608201754385965	0.0442593478107318	0.78359649122807	1
a dinosaur fossil	4 mailboxes	0.834235294117647	0.033160280903653	0.331529411764706	1
a dinosaur fossil	8 motorcycles	0.5203125	0.0469939626305625	0.959375	1
